,Country Code,Country Name,Type of Mortality,Gender,Diseas,Unit,Year,Mortality Rate
72,DE,Germany,Preventable mortality,F,TOTAL,Rate,2018,95.92
73,DE,Germany,Preventable mortality,F,TOTAL,Rate,2019,92.05
74,DE,Germany,Preventable mortality,F,TOTAL,Rate,2020,96.22
75,DE,Germany,Preventable mortality,F,TOTAL,Rate,2021,105.49
76,DE,Germany,Preventable mortality,F,TOTAL,Rate,2022,103.88
77,DK,Denmark,Preventable mortality,F,TOTAL,Rate,2012,130.97
78,DK,Denmark,Preventable mortality,F,TOTAL,Rate,2013,122.39
79,DK,Denmark,Preventable mortality,F,TOTAL,Rate,2014,121.62
80,DK,Denmark,Preventable mortality,F,TOTAL,Rate,2015,116.91
81,DK,Denmark,Preventable mortality,F,TOTAL,Rate,2016,115.01
82,DK,Denmark,Preventable mortality,F,TOTAL,Rate,2017,111.21
83,DK,Denmark,Preventable mortality,F,TOTAL,Rate,2018,108.98
84,DK,Denmark,Preventable mortality,F,TOTAL,Rate,2019,108.24
85,DK,Denmark,Preventable mortality,F,TOTAL,Rate,2020,105.07
86,DK,Denmark,Preventable mortality,F,TOTAL,Rate,2021,106.48
87,DK,Denmark,Preventable mortality,F,TOTAL,Rate,2022,105.11
88,EE,Estonia,Preventable mortality,F,TOTAL,Rate,2012,135.79
89,EE,Estonia,Preventable mortality,F,TOTAL,Rate,2013,134.01
90,EE,Estonia,Preventable mortality,F,TOTAL,Rate,2014,127.35
91,EE,Estonia,Preventable mortality,F,TOTAL,Rate,2015,125.68
92,EE,Estonia,Preventable mortality,F,TOTAL,Rate,2016,124.93
93,EE,Estonia,Preventable mortality,F,TOTAL,Rate,2017,113.9
94,EE,Estonia,Preventable mortality,F,TOTAL,Rate,2018,120.54
95,EE,Estonia,Preventable mortality,F,TOTAL,Rate,2019,108.82
96,EE,Estonia,Preventable mortality,F,TOTAL,Rate,2020,115.3
97,EE,Estonia,Preventable mortality,F,TOTAL,Rate,2021,153.11
98,EE,Estonia,Preventable mortality,F,TOTAL,Rate,2022,127.64
99,EL,Greece,Preventable mortality,F,TOTAL,Rate,2012,65.58
100,EL,Greece,Preventable mortality,F,TOTAL,Rate,2013,66.81
101,EL,Greece,Preventable mortality,F,TOTAL,Rate,2014,61.49
102,EL,Greece,Preventable mortality,F,TOTAL,Rate,2015,63.99
103,EL,Greece,Preventable mortality,F,TOTAL,Rate,2016,65.24
104,EL,Greece,Preventable mortality,F,TOTAL,Rate,2017,64.26
105,EL,Greece,Preventable mortality,F,TOTAL,Rate,2018,64.0
106,EL,Greece,Preventable mortality,F,TOTAL,Rate,2019,63.46
107,EL,Greece,Preventable mortality,F,TOTAL,Rate,2020,74.03
108,EL,Greece,Preventable mortality,F,TOTAL,Rate,2021,105.52
109,EL,Greece,Preventable mortality,F,TOTAL,Rate,2022,89.09
110,ES,Spain,Preventable mortality,F,TOTAL,Rate,2012,52.94
111,ES,Spain,Preventable mortality,F,TOTAL,Rate,2013,53.85
112,ES,Spain,Preventable mortality,F,TOTAL,Rate,2014,53.12
113,ES,Spain,Preventable mortality,F,TOTAL,Rate,2015,53.63
114,ES,Spain,Preventable mortality,F,TOTAL,Rate,2016,53.27
115,ES,Spain,Preventable mortality,F,TOTAL,Rate,2017,53.83
116,ES,Spain,Preventable mortality,F,TOTAL,Rate,2018,53.34
117,ES,Spain,Preventable mortality,F,TOTAL,Rate,2019,52.64
118,ES,Spain,Preventable mortality,F,TOTAL,Rate,2020,72.62
119,ES,Spain,Preventable mortality,F,TOTAL,Rate,2021,67.92
120,ES,Spain,Preventable mortality,F,TOTAL,Rate,2022,65.55
121,EU27_2020,European Union - 27 countries (from 2020),Preventable mortality,F,TOTAL,Rate,2012,93.53
122,EU27_2020,European Union - 27 countries (from 2020),Preventable mortality,F,TOTAL,Rate,2013,92.3
123,EU27_2020,European Union - 27 countries (from 2020),Preventable mortality,F,TOTAL,Rate,2014,90.08
124,EU27_2020,European Union - 27 countries (from 2020),Preventable mortality,F,TOTAL,Rate,2015,91.19
125,EU27_2020,European Union - 27 countries (from 2020),Preventable mortality,F,TOTAL,Rate,2016,89.16
126,EU27_2020,European Union - 27 countries (from 2020),Preventable mortality,F,TOTAL,Rate,2017,89.13
127,EU27_2020,European Union - 27 countries (from 2020),Preventable mortality,F,TOTAL,Rate,2018,88.36
128,EU27_2020,European Union - 27 countries (from 2020),Preventable mortality,F,TOTAL,Rate,2019,86.27
129,EU27_2020,European Union - 27 countries (from 2020),Preventable mortality,F,TOTAL,Rate,2020,101.58
130,EU27_2020,European Union - 27 countries (from 2020),Preventable mortality,F,TOTAL,Rate,2021,119.45
131,EU27_2020,European Union - 27 countries (from 2020),Preventable mortality,F,TOTAL,Rate,2022,97.72
132,EU28,European Union - 28 countries (2013-2020),Preventable mortality,F,TOTAL,Rate,2012,95.08
133,EU28,European Union - 28 countries (2013-2020),Preventable mortality,F,TOTAL,Rate,2013,93.83
134,EU28,European Union - 28 countries (2013-2020),Preventable mortality,F,TOTAL,Rate,2014,91.89
135,EU28,European Union - 28 countries (2013-2020),Preventable mortality,F,TOTAL,Rate,2015,93.0
136,EU28,European Union - 28 countries (2013-2020),Preventable mortality,F,TOTAL,Rate,2016,91.35
137,EU28,European Union - 28 countries (2013-2020),Preventable mortality,F,TOTAL,Rate,2017,91.09
138,FI,Finland,Preventable mortality,F,TOTAL,Rate,2012,93.26
139,FI,Finland,Preventable mortality,F,TOTAL,Rate,2013,91.07
140,FI,Finland,Preventable mortality,F,TOTAL,Rate,2014,87.9
141,FI,Finland,Preventable mortality,F,TOTAL,Rate,2015,85.51
142,FI,Finland,Preventable mortality,F,TOTAL,Rate,2016,84.53
143,FI,Finland,Preventable mortality,F,TOTAL,Rate,2017,86.37
144,FI,Finland,Preventable mortality,F,TOTAL,Rate,2018,84.77
145,FI,Finland,Preventable mortality,F,TOTAL,Rate,2019,82.9
146,FI,Finland,Preventable mortality,F,TOTAL,Rate,2020,83.46
147,FI,Finland,Preventable mortality,F,TOTAL,Rate,2021,84.76
148,FI,Finland,Preventable mortality,F,TOTAL,Rate,2022,94.03
149,FR,France,Preventable mortality,F,TOTAL,Rate,2012,69.02
150,FR,France,Preventable mortality,F,TOTAL,Rate,2013,67.78
151,FR,France,Preventable mortality,F,TOTAL,Rate,2014,67.05
152,FR,France,Preventable mortality,F,TOTAL,Rate,2015,67.45
153,FR,France,Preventable mortality,F,TOTAL,Rate,2016,66.76
154,FR,France,Preventable mortality,F,TOTAL,Rate,2017,67.05
155,FR,France,Preventable mortality,F,TOTAL,Rate,2018,65.57
156,FR,France,Preventable mortality,F,TOTAL,Rate,2019,66.18
157,FR,France,Preventable mortality,F,TOTAL,Rate,2020,75.93
158,FR,France,Preventable mortality,F,TOTAL,Rate,2021,79.62
159,FR,France,Preventable mortality,F,TOTAL,Rate,2022,76.11
160,HR,Croatia,Preventable mortality,F,TOTAL,Rate,2012,120.78
161,HR,Croatia,Preventable mortality,F,TOTAL,Rate,2013,118.38
162,HR,Croatia,Preventable mortality,F,TOTAL,Rate,2014,120.42
163,HR,Croatia,Preventable mortality,F,TOTAL,Rate,2015,125.41
164,HR,Croatia,Preventable mortality,F,TOTAL,Rate,2016,113.56
165,HR,Croatia,Preventable mortality,F,TOTAL,Rate,2017,117.26
166,HR,Croatia,Preventable mortality,F,TOTAL,Rate,2018,120.17
167,HR,Croatia,Preventable mortality,F,TOTAL,Rate,2019,117.16
168,HR,Croatia,Preventable mortality,F,TOTAL,Rate,2020,136.72
169,HR,Croatia,Preventable mortality,F,TOTAL,Rate,2021,169.35
170,HR,Croatia,Preventable mortality,F,TOTAL,Rate,2022,131.55
171,HU,Hungary,Preventable mortality,F,TOTAL,Rate,2012,198.36
172,HU,Hungary,Preventable mortality,F,TOTAL,Rate,2013,191.96
173,HU,Hungary,Preventable mortality,F,TOTAL,Rate,2014,190.5
174,HU,Hungary,Preventable mortality,F,TOTAL,Rate,2015,198.75
175,HU,Hungary,Preventable mortality,F,TOTAL,Rate,2016,184.89
176,HU,Hungary,Preventable mortality,F,TOTAL,Rate,2017,191.92
177,HU,Hungary,Preventable mortality,F,TOTAL,Rate,2018,187.44
178,HU,Hungary,Preventable mortality,F,TOTAL,Rate,2019,186.82
179,HU,Hungary,Preventable mortality,F,TOTAL,Rate,2020,208.24
180,HU,Hungary,Preventable mortality,F,TOTAL,Rate,2021,282.13
181,HU,Hungary,Preventable mortality,F,TOTAL,Rate,2022,200.1
182,IE,Ireland,Preventable mortality,F,TOTAL,Rate,2012,95.84
183,IE,Ireland,Preventable mortality,F,TOTAL,Rate,2013,94.38
184,IE,Ireland,Preventable mortality,F,TOTAL,Rate,2014,98.66
185,IE,Ireland,Preventable mortality,F,TOTAL,Rate,2015,89.77
186,IE,Ireland,Preventable mortality,F,TOTAL,Rate,2016,93.98
187,IE,Ireland,Preventable mortality,F,TOTAL,Rate,2017,86.9
188,IE,Ireland,Preventable mortality,F,TOTAL,Rate,2018,87.22
189,IE,Ireland,Preventable mortality,F,TOTAL,Rate,2019,85.15
190,IE,Ireland,Preventable mortality,F,TOTAL,Rate,2020,97.79
191,IE,Ireland,Preventable mortality,F,TOTAL,Rate,2021,100.94
192,IE,Ireland,Preventable mortality,F,TOTAL,Rate,2022,90.82
193,IS,Iceland,Preventable mortality,F,TOTAL,Rate,2012,106.78
194,IS,Iceland,Preventable mortality,F,TOTAL,Rate,2013,95.51
195,IS,Iceland,Preventable mortality,F,TOTAL,Rate,2014,88.37
196,IS,Iceland,Preventable mortality,F,TOTAL,Rate,2015,97.12
197,IS,Iceland,Preventable mortality,F,TOTAL,Rate,2016,102.99
198,IS,Iceland,Preventable mortality,F,TOTAL,Rate,2017,74.52
199,IS,Iceland,Preventable mortality,F,TOTAL,Rate,2018,76.24
200,IS,Iceland,Preventable mortality,F,TOTAL,Rate,2019,82.38
201,IS,Iceland,Preventable mortality,F,TOTAL,Rate,2020,81.15
202,IS,Iceland,Preventable mortality,F,TOTAL,Rate,2021,79.67
203,IS,Iceland,Preventable mortality,F,TOTAL,Rate,2022,92.84
204,IT,Italy,Preventable mortality,F,TOTAL,Rate,2012,64.49
205,IT,Italy,Preventable mortality,F,TOTAL,Rate,2013,62.41
206,IT,Italy,Preventable mortality,F,TOTAL,Rate,2014,60.36
207,IT,Italy,Preventable mortality,F,TOTAL,Rate,2015,61.9
208,IT,Italy,Preventable mortality,F,TOTAL,Rate,2016,60.14
209,IT,Italy,Preventable mortality,F,TOTAL,Rate,2017,60.21
210,IT,Italy,Preventable mortality,F,TOTAL,Rate,2018,57.72
211,IT,Italy,Preventable mortality,F,TOTAL,Rate,2019,56.41
212,IT,Italy,Preventable mortality,F,TOTAL,Rate,2020,71.98
213,IT,Italy,Preventable mortality,F,TOTAL,Rate,2021,73.6
214,IT,Italy,Preventable mortality,F,TOTAL,Rate,2022,66.19
215,LI,Liechtenstein,Preventable mortality,F,TOTAL,Rate,2012,68.89
216,LI,Liechtenstein,Preventable mortality,F,TOTAL,Rate,2013,123.5
217,LI,Liechtenstein,Preventable mortality,F,TOTAL,Rate,2014,79.22
218,LI,Liechtenstein,Preventable mortality,F,TOTAL,Rate,2015,47.96
219,LI,Liechtenstein,Preventable mortality,F,TOTAL,Rate,2016,106.77
220,LI,Liechtenstein,Preventable mortality,F,TOTAL,Rate,2017,45.91
221,LI,Liechtenstein,Preventable mortality,F,TOTAL,Rate,2018,66.71
222,LI,Liechtenstein,Preventable mortality,F,TOTAL,Rate,2019,73.43
223,LI,Liechtenstein,Preventable mortality,F,TOTAL,Rate,2020,85.64
224,LI,Liechtenstein,Preventable mortality,F,TOTAL,Rate,2021,56.69
225,LI,Liechtenstein,Preventable mortality,F,TOTAL,Rate,2022,73.83
226,LT,Lithuania,Preventable mortality,F,TOTAL,Rate,2012,169.57
227,LT,Lithuania,Preventable mortality,F,TOTAL,Rate,2013,165.21
228,LT,Lithuania,Preventable mortality,F,TOTAL,Rate,2014,156.31
229,LT,Lithuania,Preventable mortality,F,TOTAL,Rate,2015,156.39
230,LT,Lithuania,Preventable mortality,F,TOTAL,Rate,2016,150.7
231,LT,Lithuania,Preventable mortality,F,TOTAL,Rate,2017,144.14
232,LT,Lithuania,Preventable mortality,F,TOTAL,Rate,2018,134.98
233,LT,Lithuania,Preventable mortality,F,TOTAL,Rate,2019,132.4
234,LT,Lithuania,Preventable mortality,F,TOTAL,Rate,2020,162.24
235,LT,Lithuania,Preventable mortality,F,TOTAL,Rate,2021,212.27
236,LT,Lithuania,Preventable mortality,F,TOTAL,Rate,2022,154.16
237,LU,Luxembourg,Preventable mortality,F,TOTAL,Rate,2012,88.67
238,LU,Luxembourg,Preventable mortality,F,TOTAL,Rate,2013,89.76
239,LU,Luxembourg,Preventable mortality,F,TOTAL,Rate,2014,79.95
240,LU,Luxembourg,Preventable mortality,F,TOTAL,Rate,2015,85.22
241,LU,Luxembourg,Preventable mortality,F,TOTAL,Rate,2016,83.09
242,LU,Luxembourg,Preventable mortality,F,TOTAL,Rate,2017,83.34
243,LU,Luxembourg,Preventable mortality,F,TOTAL,Rate,2018,83.77
244,LU,Luxembourg,Preventable mortality,F,TOTAL,Rate,2019,70.54
245,LU,Luxembourg,Preventable mortality,F,TOTAL,Rate,2020,80.47
246,LU,Luxembourg,Preventable mortality,F,TOTAL,Rate,2021,86.11
247,LU,Luxembourg,Preventable mortality,F,TOTAL,Rate,2022,75.3
248,LV,Latvia,Preventable mortality,F,TOTAL,Rate,2012,176.25
249,LV,Latvia,Preventable mortality,F,TOTAL,Rate,2013,181.2
250,LV,Latvia,Preventable mortality,F,TOTAL,Rate,2014,164.44
251,LV,Latvia,Preventable mortality,F,TOTAL,Rate,2015,164.97
252,LV,Latvia,Preventable mortality,F,TOTAL,Rate,2016,157.91
253,LV,Latvia,Preventable mortality,F,TOTAL,Rate,2017,157.09
254,LV,Latvia,Preventable mortality,F,TOTAL,Rate,2018,158.56
255,LV,Latvia,Preventable mortality,F,TOTAL,Rate,2019,141.06
256,LV,Latvia,Preventable mortality,F,TOTAL,Rate,2020,149.05
257,LV,Latvia,Preventable mortality,F,TOTAL,Rate,2021,236.89
258,LV,Latvia,Preventable mortality,F,TOTAL,Rate,2022,172.18
259,MT,Malta,Preventable mortality,F,TOTAL,Rate,2012,71.08
260,MT,Malta,Preventable mortality,F,TOTAL,Rate,2013,60.33
261,MT,Malta,Preventable mortality,F,TOTAL,Rate,2014,59.4
262,MT,Malta,Preventable mortality,F,TOTAL,Rate,2015,60.09
263,MT,Malta,Preventable mortality,F,TOTAL,Rate,2016,65.62
264,MT,Malta,Preventable mortality,F,TOTAL,Rate,2017,67.63
265,MT,Malta,Preventable mortality,F,TOTAL,Rate,2018,56.87
266,MT,Malta,Preventable mortality,F,TOTAL,Rate,2019,57.14
267,MT,Malta,Preventable mortality,F,TOTAL,Rate,2020,58.68
268,MT,Malta,Preventable mortality,F,TOTAL,Rate,2021,74.1
269,MT,Malta,Preventable mortality,F,TOTAL,Rate,2022,64.14
270,NL,Netherlands,Preventable mortality,F,TOTAL,Rate,2012,100.72
271,NL,Netherlands,Preventable mortality,F,TOTAL,Rate,2013,98.04
272,NL,Netherlands,Preventable mortality,F,TOTAL,Rate,2014,97.52
273,NL,Netherlands,Preventable mortality,F,TOTAL,Rate,2015,100.15
274,NL,Netherlands,Preventable mortality,F,TOTAL,Rate,2016,100.48
275,NL,Netherlands,Preventable mortality,F,TOTAL,Rate,2017,94.8
276,NL,Netherlands,Preventable mortality,F,TOTAL,Rate,2018,98.28
277,NL,Netherlands,Preventable mortality,F,TOTAL,Rate,2019,94.6
278,NL,Netherlands,Preventable mortality,F,TOTAL,Rate,2020,104.35
279,NL,Netherlands,Preventable mortality,F,TOTAL,Rate,2021,110.7
280,NL,Netherlands,Preventable mortality,F,TOTAL,Rate,2022,103.06
281,NO,Norway,Preventable mortality,F,TOTAL,Rate,2012,95.92
282,NO,Norway,Preventable mortality,F,TOTAL,Rate,2013,98.26
283,NO,Norway,Preventable mortality,F,TOTAL,Rate,2014,89.85
284,NO,Norway,Preventable mortality,F,TOTAL,Rate,2015,90.42
285,NO,Norway,Preventable mortality,F,TOTAL,Rate,2016,91.85
286,NO,Norway,Preventable mortality,F,TOTAL,Rate,2017,88.06
287,NO,Norway,Preventable mortality,F,TOTAL,Rate,2018,86.28
288,NO,Norway,Preventable mortality,F,TOTAL,Rate,2019,85.61
289,NO,Norway,Preventable mortality,F,TOTAL,Rate,2020,81.98
290,NO,Norway,Preventable mortality,F,TOTAL,Rate,2021,81.66
291,NO,Norway,Preventable mortality,F,TOTAL,Rate,2022,89.38
292,PL,Poland,Preventable mortality,F,TOTAL,Rate,2012,119.22
293,PL,Poland,Preventable mortality,F,TOTAL,Rate,2013,117.95
294,PL,Poland,Preventable mortality,F,TOTAL,Rate,2014,114.65
295,PL,Poland,Preventable mortality,F,TOTAL,Rate,2015,112.54
296,PL,Poland,Preventable mortality,F,TOTAL,Rate,2016,110.87
297,PL,Poland,Preventable mortality,F,TOTAL,Rate,2017,114.73
298,PL,Poland,Preventable mortality,F,TOTAL,Rate,2018,115.41
299,PL,Poland,Preventable mortality,F,TOTAL,Rate,2019,114.13
300,PL,Poland,Preventable mortality,F,TOTAL,Rate,2020,145.98
301,PL,Poland,Preventable mortality,F,TOTAL,Rate,2021,193.03
302,PL,Poland,Preventable mortality,F,TOTAL,Rate,2022,132.11
303,PT,Portugal,Preventable mortality,F,TOTAL,Rate,2012,65.44
304,PT,Portugal,Preventable mortality,F,TOTAL,Rate,2013,64.6
305,PT,Portugal,Preventable mortality,F,TOTAL,Rate,2014,66.01
306,PT,Portugal,Preventable mortality,F,TOTAL,Rate,2015,67.78
307,PT,Portugal,Preventable mortality,F,TOTAL,Rate,2016,63.86
308,PT,Portugal,Preventable mortality,F,TOTAL,Rate,2017,63.77
309,PT,Portugal,Preventable mortality,F,TOTAL,Rate,2018,61.94
310,PT,Portugal,Preventable mortality,F,TOTAL,Rate,2019,62.04
311,PT,Portugal,Preventable mortality,F,TOTAL,Rate,2020,66.96
312,PT,Portugal,Preventable mortality,F,TOTAL,Rate,2021,75.08
313,PT,Portugal,Preventable mortality,F,TOTAL,Rate,2022,66.3
314,RO,Romania,Preventable mortality,F,TOTAL,Rate,2012,183.13
315,RO,Romania,Preventable mortality,F,TOTAL,Rate,2013,174.5
316,RO,Romania,Preventable mortality,F,TOTAL,Rate,2014,172.98
317,RO,Romania,Preventable mortality,F,TOTAL,Rate,2015,169.03
318,RO,Romania,Preventable mortality,F,TOTAL,Rate,2016,167.0
319,RO,Romania,Preventable mortality,F,TOTAL,Rate,2017,164.0
320,RO,Romania,Preventable mortality,F,TOTAL,Rate,2018,161.25
321,RO,Romania,Preventable mortality,F,TOTAL,Rate,2019,153.27
322,RO,Romania,Preventable mortality,F,TOTAL,Rate,2020,193.2
323,RO,Romania,Preventable mortality,F,TOTAL,Rate,2021,267.04
324,RO,Romania,Preventable mortality,F,TOTAL,Rate,2022,158.24
325,RS,Serbia,Preventable mortality,F,TOTAL,Rate,2012,144.92
326,RS,Serbia,Preventable mortality,F,TOTAL,Rate,2013,141.04
327,RS,Serbia,Preventable mortality,F,TOTAL,Rate,2014,135.17
328,RS,Serbia,Preventable mortality,F,TOTAL,Rate,2015,140.17
329,RS,Serbia,Preventable mortality,F,TOTAL,Rate,2016,138.87
330,RS,Serbia,Preventable mortality,F,TOTAL,Rate,2017,138.8
331,RS,Serbia,Preventable mortality,F,TOTAL,Rate,2018,136.73
332,RS,Serbia,Preventable mortality,F,TOTAL,Rate,2019,136.02
333,RS,Serbia,Preventable mortality,F,TOTAL,Rate,2020,179.88
334,RS,Serbia,Preventable mortality,F,TOTAL,Rate,2021,273.29
335,RS,Serbia,Preventable mortality,F,TOTAL,Rate,2022,160.73
336,SE,Sweden,Preventable mortality,F,TOTAL,Rate,2012,87.65
337,SE,Sweden,Preventable mortality,F,TOTAL,Rate,2013,88.93
338,SE,Sweden,Preventable mortality,F,TOTAL,Rate,2014,88.24
339,SE,Sweden,Preventable mortality,F,TOTAL,Rate,2015,84.66
340,SE,Sweden,Preventable mortality,F,TOTAL,Rate,2016,86.12
341,SE,Sweden,Preventable mortality,F,TOTAL,Rate,2017,84.78
342,SE,Sweden,Preventable mortality,F,TOTAL,Rate,2018,84.98
343,SE,Sweden,Preventable mortality,F,TOTAL,Rate,2019,79.21
344,SE,Sweden,Preventable mortality,F,TOTAL,Rate,2020,84.98
345,SE,Sweden,Preventable mortality,F,TOTAL,Rate,2021,82.14
346,SE,Sweden,Preventable mortality,F,TOTAL,Rate,2022,78.25
347,SI,Slovenia,Preventable mortality,F,TOTAL,Rate,2012,102.52
348,SI,Slovenia,Preventable mortality,F,TOTAL,Rate,2013,97.81
349,SI,Slovenia,Preventable mortality,F,TOTAL,Rate,2014,92.31
350,SI,Slovenia,Preventable mortality,F,TOTAL,Rate,2015,95.53
351,SI,Slovenia,Preventable mortality,F,TOTAL,Rate,2016,86.03
352,SI,Slovenia,Preventable mortality,F,TOTAL,Rate,2017,96.58
353,SI,Slovenia,Preventable mortality,F,TOTAL,Rate,2018,92.37
354,SI,Slovenia,Preventable mortality,F,TOTAL,Rate,2019,87.2
355,SI,Slovenia,Preventable mortality,F,TOTAL,Rate,2020,103.35
356,SI,Slovenia,Preventable mortality,F,TOTAL,Rate,2021,113.43
357,SI,Slovenia,Preventable mortality,F,TOTAL,Rate,2022,103.42
358,SK,Slovakia,Preventable mortality,F,TOTAL,Rate,2012,135.42
359,SK,Slovakia,Preventable mortality,F,TOTAL,Rate,2013,126.52
360,SK,Slovakia,Preventable mortality,F,TOTAL,Rate,2014,126.54
361,SK,Slovakia,Preventable mortality,F,TOTAL,Rate,2015,127.62
362,SK,Slovakia,Preventable mortality,F,TOTAL,Rate,2016,121.14
363,SK,Slovakia,Preventable mortality,F,TOTAL,Rate,2017,123.06
364,SK,Slovakia,Preventable mortality,F,TOTAL,Rate,2018,119.46
365,SK,Slovakia,Preventable mortality,F,TOTAL,Rate,2019,113.03
366,SK,Slovakia,Preventable mortality,F,TOTAL,Rate,2020,138.02
367,SK,Slovakia,Preventable mortality,F,TOTAL,Rate,2021,222.92
368,SK,Slovakia,Preventable mortality,F,TOTAL,Rate,2022,124.62
